Name,Symbol,Industry
ABR HOLDINGS LIMITED ,533.SI,Consumer Discretionary
ACCORDIA GOLF TRUST ,ADQU.SI,Consumer Discretionary
AF GLOBAL LIMITED,L38.SI,Consumer Discretionary
ALIBABA PICTURES GROUP LIMITED,S91.SI,Consumer Discretionary
AMARA HOLDINGS LTD ,A34.SI,Consumer Discretionary
ARION ENTERTAINMENT SING LTD ,5VU.SI,Consumer Discretionary
ASIA FASHION HOLDINGS LIMITED,BQI.SI,Consumer Discretionary
ASIA-PACIFIC STRATEGIC INV LTD,5RA.SI,Consumer Discretionary
ASIAN PAY TELEVISION TRUST,S7OU.SI,Consumer Discretionary
ASIATRAVEL.COM HOLDINGS LTD,5AM.SI,Consumer Discretionary
ASTAKA HOLDINGS LIMITED ,42S.SI,Consumer Discretionary
BANYAN TREE HOLDINGS LIMITED,B58.SI,Consumer Discretionary
CACOLA FURNITURE INTL LIMITED ,D2U.SI,Consumer Discretionary
CAMSING HEALTHCARE LIMITED,BAC.SI,Consumer Discretionary
CASA HOLDINGS LIMITED ,C04.SI,Consumer Discretionary
CENTURION CORPORATION LIMITED ,OU8.SI,Consumer Discretionary
CHALLENGER TECHNOLOGIES LTD,573.SI,Consumer Discretionary
CHASWOOD RESOURCES HLDGS LTD. ,5TW.SI,Consumer Discretionary
CHINA ENVIRONMENT LTD. ,5OU.SI,Consumer Discretionary
CHINA FIBRETECH LTD. ,AXL.SI,Consumer Discretionary
CHINA GAOXIAN FIBREFAB HLDGLTD,AZZ.SI,Consumer Discretionary
CHINA JISHAN HOLDINGS LIMITED,J18.SI,Consumer Discretionary
"CHINA SKY CHEM FIBRE CO., LTD.",E90.SI,Consumer Discretionary
CHINA SPORTS INTL LIMITED ,FQ8.SI,Consumer Discretionary
CHINA TAISAN TECH GRP HLDGSLTD,AZW.SI,Consumer Discretionary
CHOO CHIANG HOLDINGS LTD.,42E.SI,Consumer Discretionary
COMBINE WILL INTL HLDGS LTD ,N0Z.SI,Consumer Discretionary
CORTINA HOLDINGS LIMITED ,C41.SI,Consumer Discretionary
COURTS ASIA LIMITED,RE2.SI,Consumer Discretionary
DAPAI INTL HLDG CO. LTD. ,FP1.SI,Consumer Discretionary
DUTY FREE INTERNATIONALLIMITED,5SO.SI,Consumer Discretionary
EPICENTRE HOLDINGS LIMITED ,5MQ.SI,Consumer Discretionary
EUROSPORTS GLOBAL LIMITED ,5G1.SI,Consumer Discretionary
F J BENJAMIN HOLDINGS LTD,F10.SI,Consumer Discretionary
FORELAND FABRICTECH HLDS LTD ,B0I.SI,Consumer Discretionary
FORISE INTERNATIONAL LIMITED ,I5H.SI,Consumer Discretionary
FUXING CHINA GROUP LIMITED ,AWK.SI,Consumer Discretionary
GENTING HONG KONG LIMITED ,S21.SI,Consumer Discretionary
GENTING SINGAPORE PLC ,G13.SI,Consumer Discretionary
GL LIMITED ,B16.SI,Consumer Discretionary
GLOBAL YELLOW PAGES LIMITED,AWS.SI,Consumer Discretionary
HL GLOBAL ENTERPRISES LIMITED ,AVX.SI,Consumer Discretionary
HOTEL GRAND CENTRAL LTD ,H18.SI,Consumer Discretionary
HOTEL PROPERTIES LTD ,H15.SI,Consumer Discretionary
HOTEL ROYAL LTD,H12.SI,Consumer Discretionary
