,Name1,Percent_Change1,Symbol1,Industry1,Name2,Percent_Change2,Symbol2,Industry2,Name3,Percent_Change3,Symbol3,Industry3,Name4,Percent_Change4,Symbol4,Industry4,Name5,Percent_Change5,Symbol5,Industry5,Name6,Percent_Change6,Symbol6,Industry6,Name7,Percent_Change7,Symbol7,Industry7,Name8,Percent_Change8,Symbol8,Industry8,Name9,Percent_Change9,Symbol9,Industry9
1,AMARA HOLDINGS LTD ,6.060606061,A34.SI,Consumer Discretionary,ABUNDANCE INTERNATIONAL LTD,-3.157894737,541.SI,Industrials,AA GROUP HOLDINGS LTD. ,-33.33333333,5GZ.SI,Information Technology,A-SMART HOLDINGS LTD. ,0,BQC.SI,Industrials,800 SUPER HOLDINGS LIMITED ,37.5,5TG.SI,Industrials,A-SONIC AEROSPACE LIMITED ,5.504587156,BTJ.SI,Industrials,3CNERGY LIMITED,-5.263157895,502.SI,Real Estate,ANCHOR RESOURCES LIMITED ,4.166666667,43E.SI,Materials,ACCRELIST LTD.,-3.448275862,5RJ.SI,Information Technology
2,ANNAIK LIMITED,52.63157895,A52.SI,Materials,AF GLOBAL LIMITED,-30.73170732,L38.SI,Consumer Discretionary,ABR HOLDINGS LIMITED ,-13.02325581,533.SI,Consumer Discretionary,ABTERRA LTD ,-10.29411765,L5I.SI,Industrials,ACROMEC LIMITED,3.296703297,43F.SI,Industrials,ALLIANCE MINERAL ASSETSLIMITED,24.13793103,40F.SI,Materials,ACCORDIA GOLF TRUST ,2.43902439,ADQU.SI,Consumer Discretionary,BENG KUANG MARINE LIMITED ,11.49425287,BEZ.SI,Industrials,ACESIAN PARTNERS LIMITED ,28.66666667,5FW.SI,Industrials
3,ASIAMEDIC LIMITED,28.66066378,505.SI,Healthcare,AIMS PROPERTY SECURITIES FUND,-13.33333333,BVP.SI,Real Estate,ADVANCED HOLDINGS LTD. ,-13.84615385,BLZ.SI,Energy,ACE ACHIEVE INFOCOM LIMITED,8.302808303,A75.SI,Telecommunications,ADVANCED SYSTEMS AUTOMATION ,1.57480315,5TY.SI,Information Technology,ARTIVISION TECHNOLOGIES LTD.,8.594976452,5NK.SI,Information Technology,ASCENDAS INDIA TRUST ,-1.176470588,CY6U.SI,Real Estate,BLACKGOLD NATURAL RESOURCESLTD,-0.854700855,41H.SI,Energy,ACMA LTD. ,0,AYV.SI,Industrials
4,ASTI HOLDINGS LIMITED ,3.896103896,575.SI,Information Technology,ALPHA ENERGY HOLDINGS LIMITED,-28.57142857,5TS.SI,Energy,ADVANCER GLOBAL LIMITED ,-6.164383562,43Q.SI,Industrials,ALIBABA PICTURES GROUP LIMITED,7.142857143,S91.SI,Consumer Discretionary,AGV GROUP LIMITED,15.90909091,1A4.SI,Materials,ASIA-PACIFIC STRATEGIC INV LTD,61.49068323,5RA.SI,Consumer Discretionary,BUKIT SEMBAWANG ESTATES LTD ,-27.27272727,B61.SI,Real Estate,BLUMONT GROUP LTD. ,0,A33.SI,Industrials,ASIAN MICRO HOLDINGS LTD,-11.86440678,585.SI,Industrials
5,AVI-TECH ELECTRONICS LIMITED ,10.25641026,BKY.SI,Information Technology,ANAN INTERNATIONAL LIMITED ,-62.5,Y35.SI,Energy,ADVENTUS HOLDINGS LIMITED ,-4.972375691,5EF.SI,Information Technology,ALLIED TECHNOLOGIES LIMITED ,3.937007874,A13.SI,Industrials,AOXIN Q & M DENTAL GRP LIMITED ,17.00680272,1D4.SI,Healthcare,ASIA FASHION HOLDINGS LIMITED,5.641025641,BQI.SI,Consumer Discretionary,C&G ENV PROTECT HLDGS LTD ,4.587155963,D79.SI,Utilities,BREADTALK GROUP LIMITED ,-7.142857143,5DA.SI,Consumer Staples,ASPIAL CORPORATION LIMITED ,0,A30.SI,Real Estate
6,BM MOBILITY LTD.,7.692307692,I9T.SI,Materials,ASIA ENTERPRISES HOLDING LTD ,-8.762886598,A55.SI,Industrials,AEI CORPORATION LTD ,-20.3125,AWG.SI,Industrials,ANCHUN INTERNATIONAL HLDGS LTD ,-2.030456853,BTX.SI,Materials,ASIAPHOS LIMITED,16.94915254,5WV.SI,Materials,ASIATRAVEL.COM HOLDINGS LTD,60,5AM.SI,Consumer Discretionary,CDW HOLDING LIMITED ,0.309597523,BXE.SI,Information Technology,CAPITALAND LIMITED,-1.195219124,C31.SI,Real Estate,ATLANTIC NAVIGATION HLDG,-18.75,5UL.SI,Energy
7,BONVESTS HOLDINGS LTD ,9.85915493,B28.SI,Industrials,ASIAN PAY TELEVISION TRUST,-6.578947368,S7OU.SI,Consumer Discretionary,AEM HOLDINGS LTD,-11.11111111,AWX.SI,Information Technology,ASIATIC GROUP ,17.5,5CR.SI,Industrials,AUSNET SERVICES LTD ,13.34440827,AZI.SI,Utilities,BOARDROOM LIMITED,3.448275862,B10.SI,Industrials,CHEW'S GROUP LIMITED ,-5.882352941,5SY.SI,Consumer Staples,CH OFFSHORE LTD,-11.11111111,C13.SI,Energy,AVIC INTL MARITIME HLDGLIMITED ,0,O2I.SI,Industrials
8,BOUSTEAD PROJECTS LIMITED ,52,AVM.SI,Industrials,BBR HOLDINGS ,-0.970873786,KJ5.SI,Industrials,AMPLEFIELD LIMITED,-5.357142857,AOF.SI,Real Estate,ASL MARINE HOLDINGS LTD,3.349282297,A04.SI,Industrials,AZEUS SYSTEMS HOLDINGS LTD.,10.54852321,BBW.SI,Information Technology,BROADWAY INDUSTRIAL GROUP LTD ,6,B69.SI,Information Technology,CHINA EVERBRIGHT WATER LIMITED,-1.176470588,U9E.SI,Utilities,CHASWOOD RESOURCES HLDGS LTD. ,-6,5TW.SI,Consumer Discretionary,CFM HOLDINGS LIMITED ,1.818181818,5EB.SI,Industrials
9,CAPITAL WORLD LIMITED. ,4.081632653,1D5.SI,Materials,BEST WORLD INTERNATIONAL LTD,-16.66666667,CGN.SI,Consumer Staples,ANNICA HOLDINGS LIMITED ,-8.823529412,5AL.SI,Energy,ASPEN GROUP,-9.090909091,1F3.SI,Real Estate,BAN LEONG TECHNOLOGIES LIMITED ,12.87878788,B26.SI,Information Technology,CHINA HAIDA LTD.,-21.05263158,C92.SI,Industrials,CHINA INTERNATIONAL HLDGS LTD ,-10.52631579,BEH.SI,Utilities,CHINA ENVIRONMENTAL RES GP LTD ,3.389830508,RS1.SI,Materials,CHINA AVIATION OIL,-6.666666667,G92.SI,Energy
10,CHARISMA ENERGY SERVICES LTD ,29.84496124,5QT.SI,Industrials,BROOK CROMPTON HOLDINGS LTD.,-18.43575419,AWC.SI,Industrials,AP OIL INTERNATIONAL LIMITED ,0.529100529,5AU.SI,Materials,BANYAN TREE HOLDINGS LIMITED,-21.21403731,B58.SI,Consumer Discretionary,BH GLOBAL CORPORATION LIMITED ,12.8,BQN.SI,Industrials,CHOO CHIANG HOLDINGS LTD.,141.6666667,42E.SI,Consumer Discretionary,CHINA STAR FOOD GROUP LIMITED,-33.33333333,42W.SI,Consumer Staples,CHINA KANGDA FOOD COMPANY LTD,-5.555555556,P74.SI,Consumer Staples,CHINA GAOXIAN FIBREFAB HLDGLTD,16.32653061,AZZ.SI,Consumer Discretionary
