"","Name","Cluster","Percent_Change","Symbol","Industry"
"1","AMARA HOLDINGS LTD ",1,6.06060606060605,"A34.SI","Consumer Discretionary"
"2","ANNAIK LIMITED",1,52.6315789473684,"A52.SI","Materials"
"3","ASIAMEDIC LIMITED",1,28.6606637752216,"505.SI","Healthcare"
"4","ASTI HOLDINGS LIMITED ",1,3.8961038961039,"575.SI","Information Technology"
"5","AVI-TECH ELECTRONICS LIMITED ",1,10.2564102564102,"BKY.SI","Information Technology"
"6","BM MOBILITY LTD.",1,7.6923076923077,"I9T.SI","Materials"
"7","BONVESTS HOLDINGS LTD ",1,9.85915492957747,"B28.SI","Industrials"
"8","BOUSTEAD PROJECTS LIMITED ",1,52,"AVM.SI","Industrials"
"9","CAPITAL WORLD LIMITED. ",1,4.08163265306123,"1D5.SI","Materials"
"10","CHARISMA ENERGY SERVICES LTD ",1,29.8449612403101,"5QT.SI","Industrials"
"11","CHEUNG WOH TECHNOLOGIES LTD",1,10.7142857142857,"C50.SI","Industrials"
"12","CHINA KUNDA TECH HOLDINGS LTD",1,10,"GU5.SI","Industrials"
"13","COMFORTDELGRO CORPORATION LTD",1,1.81818181818182,"C52.SI","Industrials"
"14","CREATIVE TECHNOLOGY LTD",1,6.61375661375663,"C76.SI","Information Technology"
"15","DAIRY FARM INT'L HOLDINGS LTD",1,13.7931034482759,"D01.SI","Consumer Staples"
"16","DISA LIMITED ",1,33.0960854092527,"532.SI","Information Technology"
"17","FALCON ENERGY GROUP LIMITED",1,0,"5FL.SI","Energy"
"18","GAYLIN HOLDINGS LIMITED ",1,60,"RF7.SI","Energy"
"19","GRP LTD ",1,0,"BLU.SI","Information Technology"
"20","GSS ENERGY LIMITED",1,0,"41F.SI","Information Technology"
"21","GUOCOLAND LIMITED",1,0,"F17.SI","Real Estate"
"22","HATTEN LAND LIMITED ",1,4.24929178470256,"PH0.SI","Real Estate"
"23","HEETON HOLDINGS LIMITED ",1,25.668449197861,"5DP.SI","Real Estate"
"24","HG METAL MANUFACTURING LTD",1,0.813008130081302,"BTG.SI","Industrials"
"25","HIAP SENG ENGINEERING LTD",1,1.16279069767442,"510.SI","Energy"
"26","HLH GROUP LIMITED",1,15.1515151515151,"H27.SI","Consumer Staples"
"27","HOCK LIAN SENG HOLDINGS LTD",1,20.2380952380952,"J2T.SI","Industrials"
"28","IHH HEALTHCARE BERHAD ",1,27.5510204081633,"Q0F.SI","Healthcare"
"29","INTERRA RESOURCES LIMITED ",1,10.7594936708861,"5GI.SI","Energy"
